0;1;1;0;256;8192;8192;8192;4.876174e+01;2.254728e+01
1;1;1;0;256;8192;8192;8192;4.816437e+01;2.282692e+01
2;1;1;0;256;8192;8192;8192;4.799666e+01;2.290669e+01
3;1;1;0;256;8192;8192;8192;4.803736e+01;2.288728e+01
0;1;1;0;512;8192;8192;8192;4.030557e+01;2.727773e+01
1;1;1;0;512;8192;8192;8192;4.000777e+01;2.748078e+01
2;1;1;0;512;8192;8192;8192;3.978773e+01;2.763275e+01
3;1;1;0;512;8192;8192;8192;3.974628e+01;2.766157e+01
0;1;1;0;1024;8192;8192;8192;3.506081e+01;3.135821e+01
1;1;1;0;1024;8192;8192;8192;3.532620e+01;3.112264e+01
2;1;1;0;1024;8192;8192;8192;3.490417e+01;3.149894e+01
3;1;1;0;1024;8192;8192;8192;3.491865e+01;3.148588e+01
0;1;1;0;2048;8192;8192;8192;3.331644e+01;3.300006e+01
1;1;1;0;2048;8192;8192;8192;3.328760e+01;3.302865e+01
2;1;1;0;2048;8192;8192;8192;3.327959e+01;3.303660e+01
3;1;1;0;2048;8192;8192;8192;3.325913e+01;3.305693e+01
0;1;1;0;4096;8192;8192;8192;3.232677e+01;3.401034e+01
1;1;1;0;4096;8192;8192;8192;3.231045e+01;3.402752e+01
2;1;1;0;4096;8192;8192;8192;3.230389e+01;3.403443e+01
3;1;1;0;4096;8192;8192;8192;3.230437e+01;3.403393e+01
